18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
18:00:42.220 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.220 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.221 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.221 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.222 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.222 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.223 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.223 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.223 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
	... 14 more

	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
18:00:42.224 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.247 [XNIO-1 task-3]  Q467F40rS7-A8ehUQF7xgA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.253 [XNIO-1 task-3]  bIqXUJusQuybTQ-QZzpqYA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.254 [XNIO-1 task-3]  bIqXUJusQuybTQ-QZzpqYA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.254 [XNIO-1 task-3]  bIqXUJusQuybTQ-QZzpqYA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.255 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:42.255 [XNIO-1 task-5]  SSBPNHd5QkSswvHRMY9uXw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.255 [XNIO-1 task-3]  bIqXUJusQuybTQ-QZzpqYA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.262 [XNIO-1 task-3]  bIqXUJusQuybTQ-QZzpqYA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.310 [XNIO-1 task-4]  -A5UQ-xqT76902ioensfEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.310 [XNIO-1 task-4]  -A5UQ-xqT76902ioensfEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.311 [XNIO-1 task-3]  Rj0yyyTjTUysnYWr-HVjlA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.311 [XNIO-1 task-3]  Rj0yyyTjTUysnYWr-HVjlA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.312 [XNIO-1 task-3]  Rj0yyyTjTUysnYWr-HVjlA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.313 [XNIO-1 task-3]  Rj0yyyTjTUysnYWr-HVjlA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.314 [XNIO-1 task-4]  -A5UQ-xqT76902ioensfEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.315 [XNIO-1 task-4]  -A5UQ-xqT76902ioensfEw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 08a0d9bd-f9e2-41ea-8cb9-9158c927fa4c scope = null
18:00:42.318 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.318 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.319 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.319 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.322 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = e642a662-5a78-410f-a1be-03452432f435 scope = null
18:00:42.333 [XNIO-1 task-4]  -A5UQ-xqT76902ioensfEw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.353 [XNIO-1 task-3]  ceqKv-o0RVS_eCfXUAkqmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.353 [XNIO-1 task-3]  ceqKv-o0RVS_eCfXUAkqmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.354 [XNIO-1 task-3]  ceqKv-o0RVS_eCfXUAkqmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.355 [XNIO-1 task-5]  tR-3pWXWRkyXenxMmyTMOg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.355 [XNIO-1 task-3]  ceqKv-o0RVS_eCfXUAkqmg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.361 [XNIO-1 task-3]  ceqKv-o0RVS_eCfXUAkqmg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.370 [XNIO-1 task-3]  qOUKkrzqSgGq8ZGBfwdX_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.370 [XNIO-1 task-3]  qOUKkrzqSgGq8ZGBfwdX_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.371 [XNIO-1 task-3]  qOUKkrzqSgGq8ZGBfwdX_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.371 [XNIO-1 task-3]  qOUKkrzqSgGq8ZGBfwdX_g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.377 [XNIO-1 task-3]  qOUKkrzqSgGq8ZGBfwdX_g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.388 [XNIO-1 task-3]  UfaFFnn3ROOKQvwM-86U3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.388 [XNIO-1 task-3]  UfaFFnn3ROOKQvwM-86U3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.389 [XNIO-1 task-3]  UfaFFnn3ROOKQvwM-86U3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.389 [XNIO-1 task-3]  UfaFFnn3ROOKQvwM-86U3w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.395 [XNIO-1 task-3]  UfaFFnn3ROOKQvwM-86U3w INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.396 [XNIO-1 task-5]  aUG9HRG7ToiaDmqLCMbPfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.396 [XNIO-1 task-5]  aUG9HRG7ToiaDmqLCMbPfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.396 [XNIO-1 task-5]  aUG9HRG7ToiaDmqLCMbPfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.397 [XNIO-1 task-5]  aUG9HRG7ToiaDmqLCMbPfw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 6MbLO9nQRxe3ijb6sv9_vQ redirectUri = http://localhost:8080/authorization
18:00:42.399 [XNIO-1 task-3]  5P88MuCyTIOw6k1h9mlwcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.399 [XNIO-1 task-3]  5P88MuCyTIOw6k1h9mlwcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.400 [XNIO-1 task-3]  5P88MuCyTIOw6k1h9mlwcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.401 [XNIO-1 task-3]  5P88MuCyTIOw6k1h9mlwcQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 50f78e55-7b4c-44d9-8640-616cce711f44 scope = null
18:00:42.404 [XNIO-1 task-5]  aUG9HRG7ToiaDmqLCMbPfw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.407 [XNIO-1 task-4]  m07P-7OyQMSdmuMDcgrP8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.407 [XNIO-1 task-4]  m07P-7OyQMSdmuMDcgrP8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.408 [XNIO-1 task-4]  m07P-7OyQMSdmuMDcgrP8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.409 [XNIO-1 task-4]  m07P-7OyQMSdmuMDcgrP8g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.414 [XNIO-1 task-4]  m07P-7OyQMSdmuMDcgrP8g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.421 [XNIO-1 task-4]  UvxZcT1PQVisA2v1VxOkgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.421 [XNIO-1 task-4]  UvxZcT1PQVisA2v1VxOkgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.422 [XNIO-1 task-4]  UvxZcT1PQVisA2v1VxOkgw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.422 [XNIO-1 task-4]  UvxZcT1PQVisA2v1VxOkgw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.429 [XNIO-1 task-4]  UvxZcT1PQVisA2v1VxOkgw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.432 [XNIO-1 task-3]  5P88MuCyTIOw6k1h9mlwcQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.434 [XNIO-1 task-4]  THrdehmgSAy0WBM8HheuWg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.435 [XNIO-1 task-4]  THrdehmgSAy0WBM8HheuWg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.436 [XNIO-1 task-4]  THrdehmgSAy0WBM8HheuWg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.437 [XNIO-1 task-4]  THrdehmgSAy0WBM8HheuWg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.442 [XNIO-1 task-4]  THrdehmgSAy0WBM8HheuWg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.449 [XNIO-1 task-4]  Elcy5XLsT1qFagHVcKW0JQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.450 [XNIO-1 task-4]  Elcy5XLsT1qFagHVcKW0JQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.450 [XNIO-1 task-4]  Elcy5XLsT1qFagHVcKW0JQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.451 [XNIO-1 task-4]  Elcy5XLsT1qFagHVcKW0JQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.461 [XNIO-1 task-4]  Elcy5XLsT1qFagHVcKW0JQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.470 [XNIO-1 task-4]  lU8L_ywYS02mbuUFGv-VEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.470 [XNIO-1 task-4]  lU8L_ywYS02mbuUFGv-VEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.470 [XNIO-1 task-4]  lU8L_ywYS02mbuUFGv-VEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.471 [XNIO-1 task-4]  lU8L_ywYS02mbuUFGv-VEQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.480 [XNIO-1 task-4]  lU8L_ywYS02mbuUFGv-VEQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.493 [XNIO-1 task-4]  VS2OkMnKT1CtdfQkQTmt2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.493 [XNIO-1 task-4]  VS2OkMnKT1CtdfQkQTmt2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.494 [XNIO-1 task-4]  VS2OkMnKT1CtdfQkQTmt2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.494 [XNIO-1 task-4]  VS2OkMnKT1CtdfQkQTmt2g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.499 [XNIO-1 task-4]  VS2OkMnKT1CtdfQkQTmt2g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.509 [XNIO-1 task-4]  wXNAx0x3QXCqpsKPjQ3YPg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.511 [XNIO-1 task-4]  wXNAx0x3QXCqpsKPjQ3YPg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.509 [XNIO-1 task-3]  KXO7xFm2QpKZKUIFLaZ21g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.511 [XNIO-1 task-3]  KXO7xFm2QpKZKUIFLaZ21g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.512 [XNIO-1 task-4]  wXNAx0x3QXCqpsKPjQ3YPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.515 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.519 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.513 [XNIO-1 task-3]  KXO7xFm2QpKZKUIFLaZ21g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.520 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.520 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.521 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:42.522 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = PCFVqhwKShyJw_g3_Dtd8g redirectUri = http://localhost:8080/authorization
18:00:42.524 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:4de552fb-a4a5-45ad-9c11-fc421f288a97
18:00:42.527 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:4de552fb-a4a5-45ad-9c11-fc421f288a97
18:00:42.530 [XNIO-1 task-4]  wXNAx0x3QXCqpsKPjQ3YPg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.533 [XNIO-1 task-3]  KXO7xFm2QpKZKUIFLaZ21g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.533 [XNIO-1 task-3]  KXO7xFm2QpKZKUIFLaZ21g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.534 [XNIO-1 task-5]  jdaF1D3ASCCFsSqcZdxyVQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.536 [XNIO-1 task-4]  edmOuNw0R6W4SAYrinhpMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.536 [XNIO-1 task-4]  edmOuNw0R6W4SAYrinhpMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.537 [XNIO-1 task-4]  edmOuNw0R6W4SAYrinhpMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.542 [XNIO-1 task-4]  edmOuNw0R6W4SAYrinhpMQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.547 [XNIO-1 task-5]  r3fs6ViITli5fKXMi7ZaBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.547 [XNIO-1 task-5]  r3fs6ViITli5fKXMi7ZaBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.548 [XNIO-1 task-5]  r3fs6ViITli5fKXMi7ZaBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.548 [XNIO-1 task-5]  r3fs6ViITli5fKXMi7ZaBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", authorization)
18:00:42.548 [XNIO-1 task-5]  r3fs6ViITli5fKXMi7ZaBQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = f6f238af-30d4-451d-9b43-5771e416f0ba scope = null
18:00:42.570 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.570 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.571 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.571 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.572 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:76b65bba-d6f2-436f-8eae-8aad2611f4e1
18:00:42.577 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.578 [XNIO-1 task-4]  RgWV8APnSumEFIvYpAeGqQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.585 [XNIO-1 task-4]  os4seGB-Ti6Uq-7YWeM_Ww DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.585 [XNIO-1 task-4]  os4seGB-Ti6Uq-7YWeM_Ww DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.586 [XNIO-1 task-4]  os4seGB-Ti6Uq-7YWeM_Ww DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
